sessionId,n_users,n_actionshort,n_actions,duration_sum
508,1,2,2,7
509,1,4,4,20
510,1,3,3,76855
511,1,4,4,76
512,1,2,2,6
514,1,2,2,93796
515,1,2,2,81732
516,1,1,1,1412
517,1,3,3,53083
518,1,1,1,195047
519,1,2,2,1749
520,1,7,7,17699
521,1,1,1,42399
522,1,1,1,135
523,1,1,1,2972
524,1,1,1,7528
525,1,1,1,2415
526,1,2,2,1618
528,1,4,4,19040
529,1,6,6,72784
531,1,4,4,148
533,1,8,8,76242
534,1,2,2,-1201449
536,1,1,1,5485
537,1,2,2,172
538,1,1,1,2528
539,1,5,5,2395
540,1,4,4,3846
541,1,1,1,1177
542,1,7,7,57796
543,1,7,7,19650
544,1,8,8,148284
545,1,1,1,6997
546,1,1,1,2225
547,1,2,2,2489
548,1,2,2,1866
549,1,3,3,143602
550,1,8,8,1798
551,1,4,4,22519
552,1,3,3,1980
553,1,1,1,24
554,1,4,4,139
555,1,4,4,1848
556,1,3,3,377
557,1,8,8,2399
558,1,9,9,3995
560,1,8,8,12753
562,1,1,1,-1232657
564,1,1,1,1218
565,1,1,1,3263
566,1,1,1,1757
567,1,3,3,5208
568,1,9,9,3396
569,1,1,1,71495
570,1,8,8,19122
571,1,1,1,72495
572,1,1,1,151
573,1,1,1,7895
574,1,2,2,124
575,1,2,2,299
576,1,1,1,37
577,1,3,3,730
578,1,2,2,388
579,1,8,8,2434
580,1,5,5,127903
581,1,1,1,7
582,1,3,3,2592
583,1,2,2,1408
584,1,10,10,11160
585,1,9,9,2626
587,1,5,5,171650
588,1,11,11,1605
589,1,10,10,2926
592,1,7,7,10066
593,1,7,7,457
594,2,3,3,-1509958
595,1,1,1,1833
596,1,1,1,294501
597,1,2,2,766045
598,1,1,1,-784528
599,1,1,1,1296
600,1,3,3,1752
601,1,1,1,595099
602,1,2,2,1814
603,1,5,5,-1125580
605,1,2,2,426295
606,1,1,1,1208
607,1,12,12,73174
608,1,3,3,2987
609,1,2,2,415
610,1,5,5,439866
611,1,12,12,1520
612,1,10,10,681060
613,1,6,6,28562
614,1,1,1,599854
